"Ia","Ib","Ic","Ua","Ub","Uc"
"-351.041","-238.163","588.222","-4722.12","-147193.299","151897.196"
"-341.287","-246.772","588.222","-2032.557","-148577.489","150596.666"
"-331.533","-255.38","588.222","743.765","-149961.68","149209.434"
"-326.656","-263.989","588.222","3433.328","-151259.358","147822.202"
"-316.902","-272.597","592.529","6122.891","-152557.037","146434.97"
"-312.025","-281.206","592.529","8812.454","-153854.715","144961.036"
"-302.271","-289.815","592.529","11588.778","-155065.882","143487.102"
"-292.517","-298.423","592.529","14278.341","-156190.536","142013.168"
"-287.64","-307.032","592.529","16967.904","-157401.703","140452.532"
"-277.886","-311.336","592.529","19657.467","-158439.846","138805.194"
"-268.132","-319.945","588.222","22347.03","-159564.501","137157.856"
"-258.378","-328.553","588.222","25036.593","-160602.643","135510.518"
"-253.501","-337.162","588.222","27726.156","-161554.274","133863.18"
"-243.747","-345.771","588.222","30415.719","-162505.905","132129.14"
"-233.993","-350.075","588.222","33105.282","-163371.024","130308.398"
"-224.239","-358.683","583.915","35708.085","-164236.143","128574.358"
"-219.362","-367.292","583.915","38397.649","-165101.262","126666.914"
"-209.608","-375.901","583.915","41000.452","-165879.869","124846.172"
"-199.854","-380.205","579.608","43690.015","-166658.476","122938.728"
"-190.1","-388.814","579.608","46292.818","-167350.572","121031.284"
"-180.346","-397.422","579.608","48895.621","-167956.155","119123.84"
"-175.469","-401.726","575.301","51498.424","-168561.738","117129.694"
"-165.715","-410.335","575.301","54101.227","-169167.321","115135.548"
"-155.961","-414.639","570.994","56617.27","-169686.393","113054.7"
"-146.207","-423.248","566.687","59220.073","-170205.464","110973.852"
"-136.453","-427.552","566.687","61736.115","-170638.024","108893.004"
"-126.698","-436.161","562.38","64252.158","-171070.583","106812.156"
"-116.944","-440.465","562.38","66768.201","-171416.631","104644.606"
"-107.19","-449.074","558.073","69284.244","-171762.678","102477.056"
"-102.313","-453.378","553.766","71800.287","-172022.214","100309.506"
"-92.559","-457.682","549.459","74229.57","-172281.75","98055.253"
"-82.805","-466.291","545.152","76658.853","-172454.774","95801.002"
"-73.051","-470.595","545.152","79088.135","-172627.797","93546.75"
"-63.297","-474.899","540.845","81517.418","-172714.309","91205.796"
"-53.543","-483.508","536.538","83859.941","-172800.821","88951.544"
"-43.789","-487.812","532.231","86289.224","-172887.333","86610.59"
"-34.035","-492.117","527.924","88631.746","-172800.821","84269.635"
"-24.281","-496.421","523.618","90887.509","-172800.821","81841.98"
"-14.527","-505.03","519.311","93230.032","-172714.309","79414.324"
"-4.773","-509.334","515.004","95485.794","-172541.286","77073.37"
"4.98","-513.638","510.697","97741.557","-172368.262","74559.012"
"9.857","-517.943","506.39","99997.32","-172108.726","72131.356"
"19.611","-522.247","502.083","102166.322","-171849.19","69703.7"
"29.365","-526.551","493.469","104335.325","-171503.143","67189.342"
"39.119","-530.855","489.162","106504.327","-171157.095","64674.984"
"48.873","-535.16","484.855","108673.33","-170811.048","62160.626"
"58.627","-539.464","480.548","110755.572","-170378.488","59559.566"
"68.381","-543.768","471.934","112837.814","-169859.417","57045.208"
"78.135","-548.073","467.627","114833.297","-169340.345","54444.148"
"87.889","-548.073","463.32","116915.539","-168734.762","51929.79"
"97.643","-552.377","454.706","118911.021","-168129.179","49328.73"
"107.397","-556.681","450.399","120819.744","-167523.595","46727.67"
"117.152","-560.985","446.092","122728.466","-166831.5","44039.908"
"122.029","-560.985","437.478","124637.188","-166052.893","41438.848"
"131.783","-565.29","433.171","126545.91","-165360.798","38837.788"
"141.537","-569.594","424.557","128367.872","-164495.679","36150.026"
"151.291","-569.594","420.25","130189.834","-163630.56","33462.264"
"161.045","-573.898","411.636","131925.036","-162765.441","30774.502"
"170.799","-573.898","407.329","133660.238","-161813.81","28173.442"
"180.553","-578.203","398.715","135395.44","-160862.179","25485.68"
"185.43","-578.203","390.101","137043.882","-159824.036","22797.918"
"195.184","-582.507","385.794","138692.324","-158785.893","20110.156"
"204.938","-582.507","377.181","140340.766","-157661.239","17335.692"
"214.692","-582.507","368.567","141902.448","-156536.584","14647.93"
"224.446","-586.811","364.26","143464.13","-155411.929","11960.168"
"229.323","-586.811","355.646","144939.051","-154200.763","9272.406"
"239.077","-586.811","347.032","146413.973","-152903.084","6497.942"
"248.831","-591.116","338.418","147802.135","-151691.918","3810.18"
"258.585","-591.116","334.111","149190.296","-150307.727","1122.418"
"263.462","-591.116","325.497","150578.458","-149010.049","-1652.045"
"273.216","-591.116","316.883","151879.859","-147539.346","-4339.807"
"282.97","-591.116","308.269","153181.261","-146155.156","-7027.569"
"292.724","-591.116","299.655","154395.902","-144684.454","-9715.331"
"297.601","-591.116","291.041","155610.544","-143127.24","-12489.795"
"307.355","-591.116","286.734","156825.185","-141656.537","-15177.557"
"317.109","-591.116","278.12","157953.066","-140012.811","-17865.319"
"321.986","-591.116","269.506","158994.188","-138455.597","-20553.081"
"331.74","-591.116","260.892","160035.309","-136811.871","-23240.843"
"336.617","-591.116","252.278","161076.43","-135081.633","-25928.606"
"346.371","-591.116","243.664","162030.791","-133437.907","-28616.367"
"356.125","-586.811","235.051","162985.152","-131707.669","-31304.129"
"361.003","-586.811","226.437","163852.753","-129890.919","-33991.891"
"370.757","-586.811","217.823","164720.354","-128074.169","-36679.654"
"375.634","-586.811","209.209","165587.955","-126257.419","-39280.713"
"385.388","-582.507","200.595","166282.036","-124354.157","-41968.475"
"390.265","-582.507","191.981","167062.877","-122450.895","-44569.536"
"400.019","-578.203","183.367","167756.958","-120547.634","-47170.595"
"404.896","-578.203","174.753","168364.278","-118557.86","-49771.655"
"409.773","-573.898","166.139","168971.599","-116568.086","-52372.715"
"419.527","-573.898","153.218","169578.92","-114578.313","-54973.775"
"424.404","-569.594","144.604","170099.48","-112502.027","-57574.835"
"434.158","-569.594","135.99","170533.281","-110425.741","-60089.193"
"439.035","-565.29","127.376","170967.081","-108349.456","-62690.253"
"443.912","-565.29","118.762","171400.882","-106186.658","-65204.611"
"448.789","-560.985","110.148","171747.922","-104023.861","-67718.969"
"458.543","-556.681","101.534","172094.963","-101861.063","-70233.327"
"463.42","-552.377","92.921","172355.243","-99698.266","-72660.983"
"468.297","-552.377","80.0","172528.763","-97448.956","-75088.639"
"473.174","-548.073","71.386","172702.283","-95199.647","-77602.997"
"482.928","-543.768","62.772","172875.804","-92863.826","-80030.653"
"487.805","-539.464","54.158","172962.564","-90614.516","-82371.608"
"492.682","-535.16","45.544","173049.324","-88278.695","-84799.264"
"497.559","-530.855","32.623","173049.324","-85942.874","-87140.217"
"502.436","-526.551","24.009","173049.324","-83520.54","-89481.171"
"507.313","-522.247","15.395","172962.564","-81184.719","-91822.125"
"512.19","-517.943","6.781","172789.043","-78762.386","-94076.377"
"517.067","-513.638","-1.832","172702.283","-76340.053","-96330.629"
"521.944","-509.334","-10.446","172442.003","-73831.208","-98584.882"
"526.821","-505.03","-23.367","172268.483","-71408.874","-100839.133"
"531.698","-500.725","-31.981","171921.442","-68900.029","-103006.684"
"536.575","-496.421","-40.595","171661.162","-66391.184","-105174.233"
"541.452","-487.812","-49.208","171227.362","-63882.339","-107341.783"
"541.452","-483.508","-57.822","170793.561","-61373.494","-109509.334"
"546.329","-479.204","-66.436","170359.761","-58778.137","-111590.181"
"551.206","-474.899","-79.357","169925.96","-56269.292","-113671.029"
"556.083","-466.291","-87.971","169318.639","-53673.935","-115665.175"
"556.083","-461.987","-96.585","168798.079","-51078.578","-117659.321"
"560.96","-457.682","-105.199","168103.998","-48483.221","-119653.467"
"565.837","-449.074","-113.813","167496.677","-45887.864","-121647.613"
"565.837","-444.769","-122.427","166802.597","-43205.995","-123555.057"
"570.714","-436.161","-135.348","166021.756","-40610.638","-125462.502"
"575.591","-431.857","-143.962","165240.915","-37928.769","-127283.244"
"575.591","-423.248","-152.576","164373.314","-35333.412","-129103.985"
"580.468","-418.944","-161.19","163505.713","-32651.543","-130924.727"
"580.468","-410.335","-169.804","162638.112","-29969.674","-132658.767"
"585.345","-406.031","-178.418","161683.751","-27287.805","-134392.808"
"585.345","-397.422","-187.032","160729.39","-24605.936","-136126.848"
"585.345","-388.814","-195.645","159688.268","-21924.068","-137774.186"
"590.222","-384.509","-204.259","158647.147","-19155.687","-139421.523"
"590.222","-375.901","-212.873","157519.266","-16473.818","-140982.16"
"590.222","-367.292","-221.487","156391.385","-13791.949","-142542.795"
"595.099","-362.988","-234.408","155176.743","-11110.08","-144103.432"
"595.099","-354.379","-243.022","153962.102","-8341.699","-145577.365"
"595.099","-345.771","-251.636","152660.7","-5659.83","-147051.3"
"595.099","-337.162","-260.25","151359.299","-2891.45","-148438.531"
"599.976","-332.858","-268.864","150057.897","-209.581","-149825.764"
"599.976","-324.249","-273.171","148669.736","2558.799","-151212.995"
"599.976","-315.64","-281.785","147281.574","5240.668","-152513.525"
"599.976","-307.032","-290.399","145806.652","7922.537","-153814.056"
"599.976","-298.423","-299.013","144331.731","10690.918","-155027.884"
"599.976","-289.815","-307.627","142856.809","13372.787","-156241.712"
"599.976","-281.206","-316.241","141295.127","16141.167","-157368.837"
"599.976","-272.597","-324.855","139646.685","18823.036","-158495.964"
"599.976","-268.293","-333.469","138085.003","21504.905","-159536.388"
"599.976","-259.685","-342.082","136436.562","24186.774","-160576.812"
"595.099","-251.076","-346.389","134701.36","26868.643","-161617.236"
"595.099","-242.467","-355.003","132966.158","29550.512","-162570.958"
"595.099","-233.859","-363.617","131230.956","32232.381","-163437.978"
