"Ia","Ib","Ic","Ua","Ub","Uc"
"8.776","5.954","14.706","118.053","3679.832","3797.43"
"17.295","12.114","29.388","168.757","7388.569","7556.516"
"25.544","18.47","44.026","150.349","11120.412","11269.378"
"33.633","25.011","58.596","69.519","14867.329","14930.427"
"41.429","31.726","73.181","102.877","18623.372","18534.209"
"49.042","38.604","87.654","319.89","22382.533","22073.29"
"56.342","45.633","101.992","609.583","26136.648","25542.538"
"63.322","52.799","116.172","966.011","29877.56","28936.989"
"70.089","60.089","130.174","1388.022","33601.253","32249.798"
"76.521","67.389","143.974","1874.628","37297.554","35474.369"
"82.613","74.787","157.453","2424.781","40962.414","38606.372"
"88.359","82.268","170.69","3037.327","44587.8","41641.693"
"93.864","89.818","183.663","3710.992","48165.77","44576.438"
"99.018","97.422","196.353","4444.383","51690.399","47405.066"
"103.819","104.971","208.74","5235.984","55153.957","50122.371"
"108.269","112.545","220.716","6082.091","58550.681","52727.063"
"112.461","120.128","232.351","6983.017","61874.887","55212.819"
"116.304","127.705","243.628","7934.871","65119.259","57578.83"
"119.802","135.175","254.448","8937.706","68278.353","59821.218"
"122.96","142.607","264.876","9987.468","71345.218","61938.063"
"125.784","149.987","274.895","11081.995","74313.138","63927.735"
"128.355","157.22","284.418","12219.037","77177.142","65787.486"
"130.609","164.369","293.502","13396.254","79932.41","67516.363"
"132.557","171.345","302.067","14609.338","82572.897","69112.46"
"134.211","178.207","310.104","15857.651","85094.159","70575.537"
"135.585","184.871","317.664","17136.799","87490.68","71905.673"
"136.697","191.39","324.678","18444.153","89758.436","73103.267"
"137.564","197.687","331.193","19777.026","91892.484","74168.124"
"138.207","203.81","337.149","21132.68","93889.258","75101.411"
"138.671","209.688","342.543","22508.332","95744.426","75904.628"
"138.95","215.309","347.369","23899.495","97454.914","76578.978"
"139.071","220.714","351.626","25303.317","99017.039","77126.769"
"139.059","225.842","355.342","26716.918","100428.243","77550.649"
"138.944","230.682","358.486","28137.404","101685.527","77853.292"
"138.757","235.267","361.055","29560.354","102786.869","78038.4"
"138.528","239.548","363.053","30984.331","103730.492","78109.552"
"138.291","243.514","364.48","32404.997","104513.989","78070.936"
"138.079","247.158","365.34","33818.061","105136.576","77927.209"
"137.927","250.502","365.637","35221.993","105597.014","77683.425"
"137.869","253.511","365.375","36612.632","105894.473","77344.633"
"137.938","256.178","364.561","37987.155","106028.642","76917.344"
"138.091","258.497","363.201","39342.783","105999.436","76407.237"
"138.424","260.463","361.304","40675.6","105807.13","75820.732"
"138.965","262.071","358.898","41982.921","105452.387","75165.39"
"139.737","263.318","355.973","43262.127","104936.062","74448.45"
"140.761","264.2","352.542","44510.666","104259.263","73677.444"
"142.052","264.715","348.615","45725.065","103423.725","72861.346"
"143.62","264.863","344.245","46902.925","102431.588","72007.115"
"145.47","264.641","339.407","48041.026","101284.848","71124.399"
"147.602","264.053","334.117","49138.017","99986.36","70220.311"
"150.011","263.095","328.442","50190.98","98538.668","69304.988"
"152.687","261.768","322.349","51197.138","96944.544","68387.197"
"155.615","260.076","315.854","52154.592","95207.84","67477.465"
"158.657","258.036","309.043","53061.574","93332.783","66582.705"
"161.914","255.635","301.872","53916.454","91321.929","65711.33"
"165.363","252.881","294.435","54717.143","89181.159","64873.443"
"168.978","249.801","286.682","55462.279","86914.519","64076.806"
"172.732","246.379","278.719","56150.14","84526.246","63328.593"
"176.598","242.649","270.49","56779.653","82022.064","62633.116"
"180.547","238.594","262.111","57349.911","79406.64","61998.091"
"184.446","234.254","253.616","57859.807","76686.252","61428.147"
"188.374","229.611","244.942","58308.758","73865.968","60926.821"
"192.301","224.711","236.22","58696.378","70952.582","60498.612"
"196.199","219.57","227.489","59022.217","67951.537","60142.444"
"200.041","214.166","218.684","59286.246","64868.425","59858.117"
"203.721","208.557","209.951","59488.464","61710.734","59644.128"
"207.295","202.763","201.334","59629.223","58486.221","59499.632"
"210.738","196.765","192.881","59708.988","55199.209","59418.634"
"214.025","190.632","184.534","59728.509","51859.797","59396.014"
"217.075","184.389","176.454","59688.778","48472.649","59427.289"
"219.927","178.067","168.697","59591.026","45048.562","59503.7"
"222.559","171.697","161.323","59436.682","41592.75","59617.505"
"224.951","165.316","154.392","59227.487","38114.933","59760.377"
"227.048","158.964","147.966","58965.328","34625.577","59924.699"
"228.869","152.685","142.015","58652.372","31131.976","60100.144"
"230.398","146.532","136.697","58291.205","27649.446","60277.499"
"231.599","140.56","132.066","57884.638","24189.664","60447.512"
"232.477","134.833","128.164","57435.533","20773.572","60600.996"
"233.011","129.421","125.026","56947.062","17431.606","60728.927"
"233.197","124.4","122.665","56422.919","14209.654","60822.516"
"233.187","121.522","125.53","55855.035","14571.324","61261.103"
"233.125","118.62","128.371","55274.523","14995.595","61685.524"
"233.006","115.697","131.186","54681.684","15477.041","62095.571"
"232.832","112.756","133.971","54076.27","16008.346","62490.975"
"232.603","109.835","136.761","53458.994","16586.085","62871.922"
"232.321","106.897","139.526","52829.583","17205.219","63238.069"
"231.987","103.984","142.264","52188.785","17859.409","63589.357"
"231.601","101.053","144.975","51536.585","18544.462","63925.808"
"231.158","98.153","147.658","50873.034","19258.119","64247.3"
"230.66","95.194","150.342","50198.242","19993.952","64553.65"
"230.11","92.276","152.974","49512.707","20751.829","64844.831"
"229.503","89.352","155.577","48816.866","21527.645","65120.693"
"228.842","86.478","158.15","48110.748","22317.699","65381.42"
"228.13","83.604","160.693","47394.442","23121.185","65626.856"
"227.364","80.736","163.206","46668.468","23935.023","65856.825"
"226.537","77.936","165.665","45932.512","24757.585","66071.443"
"225.655","75.212","168.089","45187.64","25587.433","66270.382"
"224.724","72.507","170.503","44433.917","26423.299","66453.614"
"223.742","69.829","172.867","43671.896","27264.069","66621.189"
"222.701","67.254","175.199","42901.176","28108.768","66773.092"
"221.611","64.795","177.501","42122.45","28954.536","66909.252"
"220.466","62.389","179.753","41335.878","29801.504","67029.675"
"219.276","60.125","181.992","40542.178","30648.977","67134.325"
"218.039","57.938","184.186","39740.976","31496.352","67223.112"
"216.754","55.927","186.331","38933.673","32342.222","67296.001"
"215.419","54.021","188.442","38120.418","33186.074","67352.936"
"214.034","52.33","190.502","37300.832","34027.463","67393.907"
"212.597","50.777","192.527","36476.484","34866.011","67418.897"
"211.107","49.478","194.521","35646.96","35700.619","67427.921"
"209.558","48.351","196.469","34813.929","36530.946","67420.999"
"207.966","47.41","198.367","33976.278","37356.709","67398.098"
"206.33","46.879","200.213","33135.886","38176.957","67359.192"
"204.66","46.557","202.021","32293.123","38991.42","67304.345"
"202.939","46.449","203.779","31448.422","39799.881","67233.603"
"201.169","46.664","205.501","30601.502","40601.511","67146.946"
"199.351","47.196","207.177","29755.471","41396.739","67044.473"
"197.497","47.931","208.805","28909.157","42184.247","66926.144"
"195.589","48.856","210.384","28064.193","42964.425","66791.981"
"193.629","50.161","211.911","27221.364","43736.613","66641.967"
"191.633","51.625","213.387","26381.566","44500.689","66476.174"
"189.582","53.326","214.824","25546.812","45256.014","66294.749"
"187.465","55.152","216.217","24718.216","46002.454","66097.636"
"185.321","57.176","217.564","23897.05","46739.387","65884.863"
"183.131","59.294","218.853","23084.757","47466.666","65656.561"
"180.914","61.574","220.09","22282.974","48184.198","65412.805"
"178.649","63.92","221.274","21494.799","48891.951","65153.579"
"176.358","66.398","222.408","20721.049","49589.457","64878.992"
"174.037","68.995","223.482","19965.455","50276.191","64589.048"
"171.664","71.628","224.499","19229.307","50952.504","64283.889"
