"Ia","Ib","Ic","Ua","Ub","Uc"
"1.755","1.191","2.941","23.611","735.966","759.486"
"3.462","2.425","5.882","33.773","1478.808","1512.423"
"5.119","3.701","8.823","30.055","2228.479","2258.331"
"6.752","5.021","11.763","12.93","2984.499","2997.165"
"8.335","6.383","14.723","17.85","3746.82","3728.882"
"9.894","7.788","17.683","61.879","4515.393","4453.006"
"11.403","9.235","20.642","119.822","5289.738","5169.493"
"12.863","10.725","23.6","191.21","6069.371","5878.303"
"14.298","12.257","26.556","276.033","6854.673","6578.964"
"15.683","13.81","29.51","374.283","7644.732","7271.003"
"17.019","15.404","32.441","485.951","8439.925","7954.385"
"18.305","17.041","35.371","611.028","9239.77","8629.071"
"19.565","18.72","38.298","749.504","10043.784","9295.028"
"20.776","20.44","41.222","901.367","10851.912","9951.79"
"21.938","22.181","44.144","1066.605","11663.673","10598.894"
"23.049","23.963","47.042","1244.77","12479.011","11236.74"
"24.136","25.786","49.937","1436.282","13297.873","11864.438"
"25.172","27.65","52.829","1640.692","14119.775","12482.391"
"26.159","29.534","55.697","1858.416","14944.663","13090.144"
"27.096","31.459","58.561","2089.002","15772.054","13687.671"
"27.983","33.425","61.421","2332.434","16601.466","14274.952"
"28.845","35.41","64.256","2588.689","17432.844","14851.536"
"29.657","37.435","67.088","2857.747","18266.132","15417.406"
"30.42","39.479","69.894","3139.156","19100.851","15972.119"
"31.134","41.563","72.674","3433.322","19936.944","16515.66"
"31.798","43.666","75.451","3739.79","20773.932","17048.017"
"32.414","45.809","78.201","4058.537","21611.761","17569.18"
"32.98","47.97","80.946","4389.534","22449.951","18078.716"
"33.498","50.17","83.666","4732.755","23288.45","18576.622"
"33.99","52.389","86.359","5088.172","24126.778","19062.893"
"34.434","54.625","89.027","5455.327","24964.885","19537.108"
"34.83","56.9","91.667","5834.188","25802.293","19999.271"
"35.178","59.192","94.303","6224.725","26638.951","20449.386"
"35.478","61.502","96.911","6626.906","27474.386","20887.043"
"35.73","63.85","99.493","7040.27","28308.546","21312.671"
"35.936","66.216","102.048","7465.21","29141.378","21725.867"
"36.095","68.598","104.576","7901.265","29971.997","22126.648"
"36.208","70.996","107.077","8347.971","30800.768","22514.624"
"36.275","73.432","109.551","8805.718","31627.226","22889.819"
"36.297","75.885","111.998","9274.044","32450.907","23252.669"
"36.274","78.353","114.418","9752.909","33271.762","23602.392"
"36.23","80.838","116.81","10242.274","34089.331","23939.429"
"36.142","83.338","119.175","10741.674","34903.566","24263.819"
"36.011","85.854","121.491","11251.069","35714.011","24575.204"
"35.839","88.385","123.781","11770.417","36520.62","24873.631"
"35.625","90.932","126.042","12299.675","37323.348","25159.155"
"35.372","93.493","128.276","12838.377","38121.744","25431.436"
"35.081","96.07","130.462","13386.48","38915.359","25690.935"
"34.752","98.661","132.62","13943.516","39704.153","25937.327"
"34.388","101.246","134.751","14509.862","40487.681","26171.077"
"33.989","103.845","136.834","15085.05","41265.904","26391.876"
"33.559","106.458","138.888","15668.614","42038.783","26599.81"
"33.099","109.085","140.915","16260.507","42805.883","26794.587"
"32.63","111.705","142.894","16860.68","43566.768","26976.693"
"32.136","114.339","144.845","17469.084","44321.802","27146.234"
"31.619","116.986","146.749","18085.252","45070.161","27302.944"
"31.084","119.626","148.625","18709.135","45811.814","27446.951"
"30.533","122.279","150.454","19340.265","46546.73","27578.384"
"29.972","124.924","152.254","19978.591","47274.491","27697.755"
"29.406","127.581","154.008","20624.062","47995.07","27804.84"
"28.853","130.231","155.715","21276.212","48708.054","27899.801"
"28.306","132.893","157.394","21934.987","49413.421","27982.803"
"27.77","135.546","159.026","22600.335","50110.764","28053.673"
"27.254","138.191","160.612","23271.789","50800.064","28112.956"
"26.765","140.848","162.17","23949.296","51481.303","28160.854"
"26.323","143.496","163.682","24632.392","52154.087","28197.58"
"25.926","146.135","165.149","25321.022","52818.025","28223.019"
"25.584","148.785","166.569","26014.721","53473.48","28237.755"
"25.309","151.426","167.963","26713.434","54119.698","28242.041"
"25.115","154.057","169.311","27417.106","54757.042","28235.818"
"25.006","156.679","170.614","28125.275","55384.768","28219.702"
"24.995","159.292","171.872","28837.883","56003.245","28193.994"
"25.09","161.895","173.086","29554.471","56612.104","28159.012"
"25.297","164.488","174.257","30274.982","57210.988","28114.788"
"25.623","167.071","175.4","30999.358","57800.263","28061.99"
"26.073","169.644","176.5","31727.141","58379.22","28000.997"
"26.644","172.206","177.557","32457.875","58948.227","27932.209"
"27.342","174.758","178.571","33191.501","59506.943","27856.049"
"28.155","177.299","179.543","33927.961","60055.034","27772.963"
"29.093","179.83","180.472","34666.803","60592.872","27683.425"
"30.153","182.331","181.361","35407.968","61120.131","27587.934"
"31.315","184.82","182.208","36151.003","61636.493","27487.017"
"32.591","187.299","183.014","36895.852","62141.989","27381.231"
"33.958","189.766","183.78","37642.457","62636.654","27271.406"
"35.428","192.203","184.506","38389.978","63120.187","27157.909"
"36.979","194.629","185.194","39138.747","63592.631","27041.617"
"38.623","197.024","185.842","39888.32","64054.032","26923.197"
"40.337","199.408","186.452","40638.252","64504.107","26803.349"
"42.116","201.761","187.025","41388.485","64942.912","26682.808"
"43.976","204.102","187.547","42138.965","65370.504","26562.344"
"45.894","206.413","188.032","42889.25","65786.622","26442.763"
"47.886","208.712","188.482","43638.904","66191.334","26325.076"
"49.929","210.98","188.897","44387.87","66584.71","26209.979"
"52.018","213.235","189.278","45136.095","66966.512","26098.53"
"54.153","215.46","189.625","45883.144","67336.822","25991.652"
"56.352","217.654","189.94","46628.965","67695.725","25890.298"
