"Ia","Ib","Ic","Ua","Ub","Uc"
"-346.732","-240.937","588.986","-4708.393","-147193.299","151865.159"
"-307.721","-279.664","588.986","8818.881","-153854.715","145017.407"
"-268.709","-322.695","588.986","22346.156","-159564.501","137216.171"
"-224.821","-361.423","584.68","35700.004","-164236.143","128548.131"
"-180.933","-395.847","576.068","48880.426","-167956.155","119099.968"
"-137.045","-430.272","567.456","61713.994","-170638.024","108871.68"
"-93.157","-460.393","550.233","74200.709","-172281.75","98036.63"
"-44.392","-486.212","533.009","86253.858","-172887.333","86594.818"
"4.371","-512.03","511.479","97786.727","-172368.262","74632.922"
"48.259","-533.545","485.644","108625.89","-170811.048","62150.945"
"97.024","-555.061","455.502","118858.059","-168129.179","49322.246"
"140.912","-567.97","425.361","128396.522","-164495.679","36146.825"
"189.676","-580.879","390.913","137067.852","-159824.036","22798.043"
"233.564","-585.182","356.466","144958.762","-154200.763","9275.901"
"272.576","-589.485","317.713","151895.826","-147539.346","-4332.921"
"316.464","-593.788","274.653","157965.757","-140012.811","-17855.064"
"355.476","-589.485","235.9","162995.129","-131707.669","-31290.526"
"389.611","-580.879","192.841","167070.654","-122450.895","-44552.627"
"423.746","-572.273","145.475","170105.619","-112502.027","-57554.687"
"457.881","-555.061","98.11","172100.025","-101861.063","-70210.025"
"487.14","-537.848","55.051","172967.158","-90614.516","-82431.962"
"511.522","-520.636","7.686","172793.732","-78762.386","-94047.135"
"535.904","-494.818","-39.679","171579.745","-66391.184","-105228.907"
"555.41","-468.999","-87.044","169325.199","-53673.935","-115630.555"
"570.039","-438.878","-134.409","166030.094","-40610.638","-125425.44"
"584.669","-404.453","-177.468","161694.429","-27287.805","-134440.202"
"594.422","-370.029","-224.834","156318.205","-13791.949","-142588.159"
"599.298","-331.301","-267.893","150074.847","-209.581","-149869.313"
"599.298","-292.573","-306.646","142790.93","13372.787","-156196.982"
"599.298","-249.543","-349.706","134726.593","26868.643","-161571.167"
"589.545","-206.512","-384.153","125795.123","40277.987","-165991.867"
"584.669","-163.481","-422.906","116083.233","53341.284","-169372.403"
"570.039","-116.148","-453.048","105590.924","66145.046","-171712.774"
"555.41","-68.814","-483.189","94491.622","78429.735","-173012.98"
"531.028","-21.48","-509.025","82872.039","90368.378","-173186.34"
"511.522","25.853","-534.861","70645.464","101701.437","-172319.536"
"482.263","73.186","-556.39","57985.322","112342.4","-170412.568"
"453.005","116.217","-573.614","45065.041","122377.781","-167465.434"
"423.746","163.551","-586.532","31797.906","131634.554","-163391.455"
"389.611","206.582","-595.144","18357.344","140112.72","-158450.672"
"350.599","253.915","-603.755","4743.356","147639.255","-152383.044"
"311.588","292.643","-608.061","-8870.631","154387.184","-145448.612"
"272.576","335.674","-603.755","-22397.906","160096.969","-137647.376"
"228.688","374.401","-599.45","-35838.467","164855.124","-128979.336"
"184.8","408.826","-590.838","-49018.889","168575.135","-119531.173"
"136.035","443.25","-582.226","-61939.171","171257.004","-109302.886"
"92.147","473.372","-565.002","-74512.599","172814.218","-98381.155"
"43.383","503.493","-547.778","-86565.748","173419.802","-86852.662"
"-0.504","525.009","-526.249","-98098.617","172900.73","-74804.086"
"-49.269","550.827","-500.413","-109024.492","171343.516","-62322.109"
"-98.033","568.04","-470.272","-119256.662","168748.159","-49493.41"
"-141.921","580.949","-440.13","-128795.125","165028.147","-36231.308"
"-185.809","593.858","-405.683","-137466.455","160356.505","-22882.527"
"-229.697","602.464","-371.235","-145357.365","154646.719","-9273.704"
"-273.585","606.767","-332.482","-152381.143","148071.815","4335.118"
"-317.474","606.767","-289.423","-158451.074","140458.768","17943.941"
"-356.485","602.464","-246.363","-163480.445","132067.113","31466.083"
"-390.62","598.161","-203.304","-167555.97","122810.34","44728.184"
"-424.755","585.252","-160.245","-170590.936","112861.472","57730.244"
"-458.891","572.343","-112.879","-172585.341","102220.508","70385.583"
"-488.149","555.13","-65.514","-173539.188","90887.449","82607.519"
"-512.532","533.615","-18.149","-173365.761","78948.807","94396.054"
"-536.914","507.797","29.215","-172151.775","66577.605","105491.145"
"-556.42","481.978","72.275","-169897.229","53860.356","115979.473"
"-571.049","451.857","119.64","-166515.41","40710.547","125774.358"
"-585.678","417.432","167.005","-162179.745","27387.714","134789.12"
"-595.431","383.008","210.064","-156803.521","13805.346","143023.758"
"-600.308","344.28","253.124","-150473.45","222.978","150304.912"
"-600.308","305.552","296.183","-143276.246","-13445.901","156632.581"
"-600.308","262.522","334.936","-135125.196","-26941.758","162093.446"
"-590.555","219.491","373.69","-126107.013","-40351.102","166514.146"
"-585.678","176.46","408.137","-116395.123","-53500.911","169894.682"
"-571.049","129.126","442.585","-105902.814","-66304.672","172235.053"
"-556.42","81.793","472.726","-94803.511","-78675.874","173448.578"
"-532.037","34.459","498.562","-83097.216","-90614.516","173708.62"
"-512.532","-12.874","524.397","-70870.641","-101947.575","172841.816"
"-483.273","-60.208","545.927","-58210.499","-112675.051","170848.166"
"-454.014","-107.541","563.151","-45203.504","-122710.431","167901.033"
"-424.755","-150.572","576.068","-31849.656","-132053.716","163913.734"
"-390.62","-197.906","584.68","-18322.381","-140445.371","158886.271"
"-351.609","-240.937","593.292","-4708.393","-148058.418","152818.643"
"-312.597","-283.967","593.292","8905.595","-154806.346","145884.211"
"-268.709","-322.695","593.292","22519.583","-160516.131","137996.295"
"-229.697","-361.423","588.986","35960.144","-165274.286","129328.255"
"-180.933","-400.15","580.374","49140.566","-168994.298","119793.411"
"-137.045","-430.272","571.762","62147.561","-171676.167","109565.124"
"-93.157","-464.696","554.539","74634.276","-173319.893","98643.393"
"-44.392","-490.515","537.315","86774.138","-173838.964","87114.9"
"4.371","-516.333","511.479","98307.007","-173406.405","75066.324"
"48.259","-537.848","489.95","109319.596","-171762.678","62497.666"
"97.024","-555.061","459.808","119551.765","-169167.321","49582.287"
"140.912","-572.273","429.667","129090.228","-165447.31","36320.186"
"189.676","-585.182","395.219","137848.272","-160775.667","22884.724"
"233.564","-589.485","356.466","145739.182","-155065.882","9275.901"
"277.452","-593.788","317.713","152762.959","-148404.465","-4332.921"
"316.464","-593.788","278.959","158832.89","-140877.93","-17941.744"
"355.476","-593.788","235.9","163948.975","-132399.764","-31463.886"
"394.487","-585.182","192.841","168024.5","-123142.991","-44812.668"
"428.622","-576.576","145.475","171059.465","-113107.61","-57901.408"
"457.881","-559.364","102.416","173053.871","-102466.647","-70556.747"
"487.14","-542.152","55.051","173921.004","-91047.076","-82865.364"
"516.398","-520.636","7.686","173747.578","-79194.945","-94567.218"
"535.904","-499.121","-39.679","172533.592","-66823.744","-105748.989"
"555.41","-468.999","-87.044","170279.046","-53933.471","-116323.998"
"574.916","-438.878","-134.409","166897.227","-40783.662","-126118.883"
"584.669","-408.756","-177.468","162561.562","-27460.829","-135133.645"
"594.422","-370.029","-224.834","157185.337","-13878.461","-143368.283"
"599.298","-331.301","-267.893","150855.267","-209.581","-150649.436"
"604.175","-292.573","-310.952","143571.349","13459.299","-157063.786"
"599.298","-249.543","-349.706","135420.299","27041.667","-162437.971"
"594.422","-206.512","-388.459","126402.116","40451.011","-166858.671"
"584.669","-163.481","-422.906","116690.226","53600.82","-170239.207"
"574.916","-116.148","-457.354","106197.917","66491.093","-172579.578"
"555.41","-68.814","-487.495","95011.901","78862.295","-173879.784"
"535.904","-21.48","-513.331","83305.606","90800.937","-174053.144"
"511.522","25.853","-534.861","70992.317","102220.508","-173186.34"
"487.14","73.186","-556.39","58332.175","112947.983","-171279.372"
"457.881","116.217","-573.614","45238.467","122983.364","-168245.558"
"423.746","163.551","-590.838","31971.332","132326.649","-164258.259"
"389.611","210.885","-599.45","18444.057","140804.815","-159230.796"
"350.599","253.915","-603.755","4743.356","148417.862","-153163.168"
"311.588","296.946","-608.061","-8957.344","155165.791","-146228.736"
"272.576","335.674","-608.061","-22571.332","160875.576","-138340.82"
"228.688","374.401","-603.755","-36011.894","165633.731","-129586.099"
"184.8","408.826","-595.144","-49279.029","169353.742","-120051.255"
"140.912","443.25","-582.226","-62286.024","172035.611","-109822.968"
"92.147","477.675","-569.308","-74859.452","173679.337","-98901.238"
"43.383","503.493","-547.778","-86912.601","174284.921","-87286.064"
"-0.504","529.312","-526.249","-98532.183","173765.849","-75237.488"
"-49.269","550.827","-500.413","-109544.772","172122.123","-62668.83"
"-98.033","568.04","-474.578","-119776.942","169526.766","-49666.77"
"-141.921","585.252","-440.13","-129402.118","165806.754","-36404.669"
"-190.686","598.161","-405.683","-138160.161","161135.112","-22969.207"
"-234.574","602.464","-371.235","-146051.072","155425.326","-9360.384"
"-273.585","606.767","-332.482","-153074.849","148763.91","4335.118"
"-317.474","606.767","-293.729","-159144.78","141150.863","18030.621"
"-356.485","606.767","-250.669","-164260.865","132672.697","31552.763"
"-395.497","598.161","-203.304","-168336.39","123415.923","44901.545"
"-429.632","589.555","-160.245","-171371.355","113380.543","57990.286"
"-458.891","572.343","-112.879","-173365.761","102653.067","70732.304"
"-488.149","555.13","-65.514","-174319.607","91320.009","83040.921"
"-517.408","533.615","-18.149","-174146.181","79381.366","94829.456"
"-536.914","512.1","29.215","-172932.195","66923.653","106011.227"
"-556.42","481.978","76.58","-170590.936","54119.892","116499.556"
"-575.925","451.857","123.946","-167295.83","40883.571","126381.121"
"-585.678","417.432","167.005","-162873.452","27474.226","135395.883"
"-595.431","383.008","214.37","-157497.227","13891.858","143630.521"
"-600.308","344.28","257.43","-151167.156","222.978","150911.674"
"-605.184","305.552","296.183","-143883.239","-13445.901","157326.024"
"-600.308","262.522","339.242","-135645.476","-27114.782","162786.889"
"-595.431","219.491","373.69","-126714.006","-40524.126","167207.59"
"-585.678","176.46","412.443","-116915.403","-53673.935","170588.125"
"-571.049","129.126","442.585","-106336.38","-66564.208","172928.496"
"-556.42","81.793","472.726","-95150.365","-79021.922","174228.702"
"-536.914","34.459","502.868","-83444.069","-90960.564","174402.063"
"-512.532","-12.874","524.397","-71130.78","-102380.135","173535.259"
"-488.149","-60.208","545.927","-58470.639","-113194.122","171628.29"
"-458.891","-107.541","563.151","-45376.93","-123229.503","168594.476"
"-424.755","-154.875","576.068","-32023.082","-132572.788","164520.497"
"-390.62","-197.906","588.986","-18409.094","-141050.954","159493.034"
"-351.609","-240.937","593.292","-4795.106","-148664.001","153425.406"
"-312.597","-283.967","597.598","8905.595","-155411.929","146490.974"
"-273.585","-326.998","597.598","22606.296","-161208.227","138603.058"
"-229.697","-365.726","593.292","36133.571","-165966.381","129848.337"
"-185.809","-400.15","584.68","49400.706","-169686.393","120313.493"
"-137.045","-434.575","571.762","62407.701","-172368.262","109998.526"
"-93.157","-464.696","558.845","74981.129","-174011.988","99076.795"
"-44.392","-494.818","537.315","87120.991","-174531.059","87461.622"
